Topic,Count,Name,Representation,Representative_Docs
81,18,81_freeazovstaldefenders_saveazovstaldefenders_saveazovstaldefenders freeazovstaldefenders_demanding,"['freeazovstaldefenders', 'saveazovstaldefenders', 'saveazovstaldefenders freeazovstaldefenders', 'demanding', 'russiaisaterroriststate saveazovstaldefenders', 'job', '08 22', 'russiaisaterroriststate', 'russiaisaterrorisstate saveazovstaldefenders', '08']","['we demand to #FreeAzovstalDefenders !! we demand from and to do the job, they are responsible for!! we demand to act hard against #RussiaIsATerroristState 4.08.22, protest/performance in Kyiv', ""#russiaisaterrorisstate #saveazovstaldefenders #FreeAzovstalDefenders #RussianWarCrimes Ukraine is bleeding!!! concerns don't make difference, actions do is there any sense in you?"", 'we are demanding #FreeAzovstalDefenders !!! we are demanding from and to do the job, they are responsible for!! we are demanding to act hard against #RussiaIsATerroristState Kyiv, 4.08.22']"
82,17,82_violating_corridors save_ihl saveukraine_ensure humanitarian,"['violating', 'corridors save', 'ihl saveukraine', 'ensure humanitarian', 'start mission', 'ukrainian lives', 'order ensure', 'hundreds thousands', 'mission ukraine', 'ukraine order']","['Thank you for your help! We urge to start their mission in #Ukraine in order to ensure humanitarian corridors! This will save hundreds of thousands of Ukrainian lives! #StopRussia from violating #IHL #SaveUkraine', '🇺🇦 Thank you for your help! We urge to start their mission in #Ukraine in order to ensure humanitarian corridors! This will save hundreds of thousands of Ukrainian lives! #StopRussia from violating #IHL #SaveUkraine', 'Thank you for your help! We urge to start their mission in #Ukraine in order to ensure humanitarian corridors! This will save hundreds of thousands of Ukrainian lives! #StopRussia from violating #IHL #SaveUkraine 🇺🇦🇺🇦🇺🇦']"
83,17,83_olenivka_ukrainian prisoners_prisoners war_war killed,"['olenivka', 'ukrainian prisoners', 'prisoners war', 'war killed', 'prisoners', 'killed', 'heroes', 'killed russia', 'terrorists olenivka', 'forget olenivka']","['You gave the safety guarantees for Ukrainian prisoners of war. Why they were killed by russia in #Olenivka? #russiaisaterrorisstate #ArmUkraineNow', 'The world must not forget about #Olenivka !We still have no information about our Ukrainian defenders in captivity. is silent! #RussiaIsATerroristState', ""I didn't want to post these videos until the #Olenivka hashtag disappeared! Ukrainian prisoners of war were killed by the Russians.The and the did not help in any way.They were the guarantors of the safety of these boys.#Olenivka #ArmUkraineNow #russiaisaterrorisstate""]"
84,17,84_ethnicity_abused_unlawful_seek,"['ethnicity', 'abused', 'unlawful', 'seek', 'members', 'detention', 'investigate', 'tigraygenocide endtigraysiege', 'murder', 'torture']","['🛑The army members should not be abused because of their ethnicity, , , , and please seek a way to investigate the unlawful detention, torture and murder. to #TigrayanENDFs #TigrayGenocide #EndTigraySiege', '🚨🚨The army members should not be abused because of their ethnicity, , , , &amp; please seek a way to investigate the unlawful detention, torture and murder. to #TigrayanENDFs #TigrayGenocide #EndTigraySiege', 'The army members should not be abused because of their ethnicity, , , , &amp; please seek a way to investigate the unlawful detention, torture and murder to #TigrayanENDFs #TigrayGenocide #EndTigraySiege']"
85,17,85_energodar_region_cross green_eu european,"['energodar', 'region', 'cross green', 'eu european', 'evacuation', 'ukraine eu', 'green corridor', 'organized', 'police', 'people evacuated']","[""Under auspices of Red Cross, 'green corridor' organized for evacuation of residents of Energodar in Zaporizhia - Energodar mayor #Russia #interfax #Ukraine #Putin"", ""Under auspices of Red Cross, 'green corridor' organized for evacuation of residents of Energodar in Zaporizhia - Energodar mayor #RussianUkrainianWar #Kiev #Kyiv Trump #Putin Biden #ukraine #UkraineWar #Zelensky Zelenskyy #Russia #war nato"", '❗️❗️IMPORTANT INFORMATION ABOUT EVACUATION I appeal to residents of Zaporozhye region who want to evacuate! With the support of the UN and the Red Cross, the ""green corridor"" Mariupol-Zaporizhzhya was agreed today. #Ukraine #EU #European #US #CINA #INDIA']"
86,17,86_money_send donations_stopicrc_office russia,"['money', 'send donations', 'stopicrc', 'office russia', 'new office', 'donations ukraine', 'donations', 'office', 'open new', 'stoprussia warinukraine']","['Tell us, what you are doing for helping Ukrainians!??? Are you really going to open the new office in russia, while you receive millions of donations for Ukraine!??? Send all donations to Ukraine 🇺🇦!!! #ICRC #StandWithUkraine #Ukraine️ #WARINUKRAINE #StopRussia', 'When you will send all donations (millions of donated money 💵) to the Ukraine 🇺🇦??? What are you waiting for? Maybe, opening the new office in russia? #Stopicrc #icrc #Ukraine️ #StandWithUkraine #StopRussia #WARINUKRAINE #StopWarInUkraine #StopWar', ""Are you Ok??? Opening the new office in russia, while millions of people send donations for Ukraine??? It's crazy!!! #StopICRC #StandWithUkraine #StopRussia #WARINUKRAINE #Ukraine️ #StopWarInUkraine #ICRC""]"
87,17,87_book_book donated_99cents_books,"['book', 'book donated', '99cents', 'books', 'cross providing', 'donated red', 'providing relief', 'amazon', 'proceeds book', 'royalties']","['🇺🇦Together We Stand With The Ukraine🇺🇦 For less than the cost of a cup of coffee you can help those in need The stories are a bonus Proceeds from the book will be donated to the Red Cross providing relief to the #Ukraine #99cents #charity', '#SelfPromoFriday 🇺🇦Together We Stand With The Ukraine🇺🇦 For less than the cost of a cup of coffee you can help those in need The stories are a bonus Proceeds from the book will be donated to the Red Cross providing relief to the #Ukraine #99cents #charity', '🇺🇦Together We Stand 2🇺🇦 Proceeds from sales of this book will be donated to the Red Cross providing relief in the #Ukraine Amazon Nook Apple Kobo #Ukrainereleif #charity #99cents']"
88,16,88_donate red_donate_charities_estonian,"['donate red', 'donate', 'charities', 'estonian', 'charities red', 'mil', 'donated', 'people donated', 'help ukraine', 'redcross']","[""Don't look away. is on the ground saving people, kitties and puppies! is a 501c3 organization working with the deputy mayor of #Kherson There are lots of reputable charities. The Red Cross is NOT there, nor are they opening their wallet. (5/5)"", '1. Don’t donate to the #RedCross. The help is not reaching Ukraine. Estonian people have donated 4.7 mil Euros to #Estonianredcross. #Ukraine Red Cross asked Estonian office to transfer 2 mil of that to the international office to help out Ukraine. Needless to say that …', 'No donations to Red Cross! Raising billions, spending on fancy offices, comfy cars and adds on social media. No considerable assistance in Ukraine. Good-for-nothing #icrc #redcross #russiainvadedukraine #stopputin #stoprussia #standwithukraine #ukraine']"
89,16,89_nato_longer combatants_combatants_humanity reaffirm,"['nato', 'longer combatants', 'combatants', 'humanity reaffirm', 'european union', 'longer', 'cross rescue', 'cross humanity', 'erdogan', 'people longer']","['Thanks to America, the #UN and #NATO for taking nuclear weapons from Ukraine and not giving powerful weapons now and not closing the sky over Ukraine. Thanks to the Red Cross, the UN and the European Union for calmly watching the terrorist Putin kill Ukrainians', 'We call on the UN and the Red Cross to show their humanity and reaffirm the basic principles on which you were created by rescuing wounded people who are no longer combatants. #UkraineRussiaWar #UkraineUnderAttack #UkraineWar #Ukraine #RussiaUkraineCrisis #BREAKING #news', 'We ask the UN and the Red Cross to show their humanity and reaffirm the basic principles on which they were created in rescuing wounded people who are no longer combatants. #Erdogan #ONU #RedCross #Macron #Biden #BorisJohnson #antonioguterres']"
90,16,90_canada_ottawa_cdnpoli_harm,"['canada', 'ottawa', 'cdnpoli', 'harm', 'surge', 'children hospital', 'ontario', 'season', 'cross help', 'program']","[""Good thing the Red Cross doesn't answer to Doug Ford #canada #cdnpoli #ontario #onpoli #ottawa My ❤ goes out to #Ottawa parents who have sick children. Thanks #RedCross"", 'CTV News Ottawa → CHEO to receive help from Red Cross staff as it deals with surge in respiratory patients 📰 #Ottawa #Canada #news', ""#Canada #RVS - Red Cross to help #Ottawa #children's hospital get through respiratory virus season (RVS)""]"
91,16,91_water_20 million_allocated_irpin,"['water', '20 million', 'allocated', 'irpin', 'hryvnias', 'water supply', 'city', 'kyiv red', 'mayor', '20']","['😌 In Irpin, the water supply is being laid from Kyiv, the Red Cross allocated 20 million hryvnias for this — the mayor of the city Oleksandr Markushin. #StandUpForUkraine #StopPutinNOW #Ukraine #Russia #NATO', 'In #Irpin, the water supply is being laid from #Kyiv, the Red Cross allocated 20 million hryvnias for this — the mayor of the city Oleksandr Markushin. In addition, the construction of a river crossing is being completed. #StandWithUkraine #HelpUkraine #StopRussia', '😌 #Irpin, water supply is being laid from Kyiv. Red Cross allocated 20 million hryvnias for this — the mayor of the city Oleksandr Markushin. In addition, the construction of a river crossing is being completed, &amp; another group of volunteers arrived to clean up the city today✊']"
92,16,92_donbas_nationalist_forces_donbas peoples,"['donbas', 'nationalist', 'forces', 'donbas peoples', 'yrs', 'giving humanitarian', 'peoples republic', 'liberated', 'peoples', 'republic']","['Independent journalist on the ground in Ukraine. #Mariupol citizens tell of the treatment by #NaziUkraine Nationalist Party forces. #Russian Federation liberated them giving humanitarian aid with the support of the who been in #Donbas Peoples Republic for 8 yrs', 'At least 250 have been liberated by Russian forces they been taken to #Donbas refugee camp assisted by who have been there for 8 yrs giving humanitarian aid to the people that #ukraine Nationalist forces have been bombing for a decade.', 'It was #Russian forces who liberated #Mariupol nothing to do with #UN have been in #Donbas Peoples Republic for a decade helping these people being shelled by #Ukraine Nationalist forces 😒']"
93,16,93_attacking food_attacking_pharmacies_food,"['attacking food', 'attacking', 'pharmacies', 'food', 'besieged', 'looting', 'mariupol red', 'starving', 'city mariupol', 'streets']","[""Starving #Ukrainians have resorted to 'attacking each other for food' and looting pharmacies in besieged #Mariupol, Red Cross #Kyiv government has sent no aid or medical supplies at all."", ""Starving Ukrainians have resorted to 'attacking each other for food' and looting pharmacies in besieged Mariupol, Red Cross reveals as deputy mayor says 1,200 bodies have been 'collected on the streets'. #news #UkraineWar"", ""Starving #Ukrainians have resorted to 'attacking each other for food' and looting pharmacies in besieged #Mariupol, Red Cross reveals as deputy mayor says 1,200 bodies have been 'collected on the streets' Mariupol has been without power, food or water for days""]"
94,15,94_health_mental health_mental_consequences,"['health', 'mental health', 'mental', 'consequences', 'people inside', 'warns', 'conflict', 'dire', 'facilities', 'ifrc']","['As the conflict continues in #Ukraine and a cold front descends, the International Federation of #RedCross and #RedCrescent Societies (IFRC) warns of the dire health - including the spread of #covid - and mental health consequences…', 'MEDIA RELEASE: As the conflict in #Ukraine enters its third week and a cold front descends, warns of dire health and mental health consequences for millions of people both inside and outside of the country.', '#Ukraine: As the conflict continues and a cold front descends, warns of the dire health - including the spread of COVID-19 - and mental health consequences for millions of people both inside and outside the country. 📷: IFRC/Anette Selmer-Andresen']"
95,15,95_biggest hospital_just days_insulin_kind,"['biggest hospital', 'just days', 'insulin', 'kind', 'biggest', 'doctors', 'tigray', 'dear', 'run', 'life saving']","['Dear . What about #Tigray ; Doctors at the biggest hospital in #Tigray say they have just days supply left of insulin, as they run out of one kind of the life-saving medicine. #EndTigraySiege #TigrayUnderAttack', '#Dear . What about #Tigray ; Doctors at the biggest hospital in #Tigray say they have just days supply left of insulin, as they run out of one kind of the life-saving medicine. #EndTigraySiege #TigrayUnderAttack', 'Dear . What about #Tigray ; Doctors at the biggest hospital in #Tigray say they have just days supply left of insulin, as they run out of one kind of the life-saving medicine. #EndTigraySiege #TigrayUnderAttack .t']"
96,15,96_help savemariupol_azov_save_save azov,"['help savemariupol', 'azov', 'save', 'save azov', 'saveazovstal', 'azovstal', 'azov azovstal', 'savemariupol ukrainemarines', 'ukrainemarines azov', 'ukrainemarines']","['Save #Azov and Ukrainian civilians. Save injured Ukrainians. Russians are inside #Azovstal #Ukraine #SaveAzovstal #Mariupol #PolkAzov', 'Please, help them! #SaveMariupol #UkraineMarines #Azov #Azovstal', 'I’m begging you, help them! #SaveMariupol #UkraineMarines #Azov #Azovstal']"
97,15,97_terrorist_support terrorists_russianwarcrimes russiaisaterroriststate_terrorist state,"['terrorist', 'support terrorists', 'russianwarcrimes russiaisaterroriststate', 'terrorist state', 'support terrorist', 'russian terrorism', 'russiaisaterroriststate', 'terrorism', 'state', 'support']","['#RussiaIsATerroristState shells #Nikopol with incendiary weapons! There are already wounded people, mother and child among them. claim russia the terrorist state it is! #unrussiaUN', 'support terrorist russia #RussianWarCrimes #RussiaIsATerroristState #russiaisateroriststate #NaziRussia #Nazi', '""Faced with terrorist groups such as Al Qaeda or ISIS, we applied Art. 5 of in 2001 and we set up an international coalition. When you have a terrorist state in front of you, the consequences will have to be similar."" #RussiaIsATerroristState']"
98,14,98_amp surrounding_surrounding areas_received assistance_assistance months,"['amp surrounding', 'surrounding areas', 'received assistance', 'assistance months', 'remains', 'surrounding', 'vulnerable people', 'address', 'haven', 'vulnerable']","[""Access to Kafta Humera, Korarit, May Gaba, Welkait, &amp; surrounding areas remains insecure, so many vulnerable people haven't received assistance for months. So Rg 🚩Ensure #Justice4Tigray 🚩Address Aid"", ""Access to Kafta Humera, Korarit, May Gaba, Welkait, &amp; surrounding areas remains insecure, so many vulnerable people haven't received assistance for months. So 🚩Ensure #Justice4Tigray 🚩Address Aid."", ""Access to Kafta Humera, Korarit, May Gaba, Welkait,&amp; surrounding areas remains insecure, so many vulnerable people haven't received assistance for months. So 🚩Ensure #Justice4Tigray 🚩Address Aid""]"
99,14,99_marked_orphanage_minibus_marked red,"['marked', 'orphanage', 'minibus', 'marked red', 'signs red', 'shot', 'signs', 'result shelling', 'result', 'highway']","['#russia shelled a shift of caregivers of an orphanage in the Mykolaiv oblast, their minivan was marked with signs of the ""Red Cross."" As a result of the shelling, at least three caregivers were killed. #Stoprussia #ClosetheSkyoverUkraine #Stopputin #StandWithUkraine', '⚡️In the Nikolaev area on March 8 on the Kirovograd highway ""H-14"" the #RussianArmy shot the minibus marked by signs of ""red cross"" in which went on change of the educator of an orphanage. As a result of the shelling, three female educators were killed #RussianWarCrimes #Ukraine', 'The occupiers shot a shift of teachers in an orphanage in the Mykolaiv region. At the same time, the minibus was marked with signs of the ""red cross"". As a result of the shelling, at least three teachers were killed. Two more people were injured. #StopPutinNOW']"
100,14,100_mines_dam_ukraine dam_landmines,"['mines', 'dam', 'ukraine dam', 'landmines', 'pose', 'dam disaster', 'danger', 'disaster', 'cross warned', 'years come']","['Mines uprooted in Ukraine dam disaster could pose danger for years to come - Reuters citing Red Cross #AInvest #Ainvest_Wire #Ukraine #RussiaInvadedUkraine #warinukraine View more:', 'Mines uprooted in Ukraine dam disaster could pose danger for years to come - Red Cross #AInvest #Ainvest_Wire #Ukraine #warinukraine #military View more:', '#Mines uprooted in #Ukraine dam disaster could pose #danger for years to come - Red Cross']"
101,14,101_inside outside_outside ukraine_prevail_humanitarians,"['inside outside', 'outside ukraine', 'prevail', 'humanitarians', 'outside', 'inside', 'volunteers inside', 'civilians humanitarians', 'difficult times', 'scale humanitarian']","['After 100 days of armed conflict, we continue supporting lifesaving #RedCross work inside and outside #Ukraine. But this is not enough. Needs are enormous. There is a urgent need of a political solution to stop the fighting. NOW.', 'In these very difficult times, the work of our #RedCross volunteers inside and outside #Ukraine is a sign of hope. Civilians and humanitarians must be protected. Humanity must prevail. We will continue to scale up our humanitarian support.', 'ifrc RT : In these very difficult times, the work of our #RedCross volunteers inside and outside #Ukraine is a sign of hope. Civilians and humanitarians must be protected. Humanity must prevail. We will continue to scale up our humanitarian support. …']"
102,14,102_philharmonic_trial_trial ukrainian_cages,"['philharmonic', 'trial', 'trial ukrainian', 'cages', 'city says', 'constructed', 'philharmonic occupied', 'metal', 'mayor city', 'stage']","['‼️ Metal cages are constructed in the #Philharmonic of the occupied #Mariupol The legal mayor of the city says that the invaders are preparing a show trial of #Ukrainian defenders He calls on the #UN and the #Red #Cross to intervene in the situation #ukraine #putinisawarcriminal', 'Metal cages are constructed in the Philharmonic of the occupied Mariupol. The legal mayor of the city says that the invaders are preparing a show trial of Ukrainian defenders. He calls on the UN and the Red Cross to intervene in the situation. #Ukraine', '#RussiaNazi #russiaisaterrorisstate ‼️Metal cages are constructed in the Philharmonic of the occupied Mariupol. The legal mayor of the city says that the invaders are preparing a show trial of Ukrainian defenders. He calls on the UN and the Red Cross to intervene in the situation']"
103,14,103_civilians hostage_russia holds_mediation_holds,"['civilians hostage', 'russia holds', 'mediation', 'holds', 'humanitarian evacuation', 'prevents', 'hostage', 'agreements', 'despite', 'kuleba']","['#RussiaUkraineConflict: Minister of Foreign Affairs of #Ukraine, #DmytroKuleba tweets, ""#Russia holds 300,000 civilians hostage in #Mariupol, prevents #humanitarian evacuation despite agreements with ICRC mediation. One child died of dehydration yesterday!...""', 'Minister of Foreign Affairs of #Ukraine, #DmytroKuleba tweets, ""Russia holds 300,000 civilians hostage in #Mariupol, prevents humanitarian evacuation despite agreements with #ICRC mediation. One child died of dehydration yesterday!..."" #RussiaUkraineConflict', 'Minister of Foreign Affairs of #Ukraine, Dmytro Kuleba tweets, ""Russia holds 300,000 civilians hostage in Mariupol, prevents humanitarian evacuation despite agreements with ICRC mediation. One child died of dehydration yesterday!...""']"
104,14,104_donate_fundraising_page donate_fundraising british,"['donate', 'fundraising', 'page donate', 'fundraising british', 'going donate', 'valencia', 'justgiving', 'sales', 'page', 'donations']","[""I just wanted to let you all know, I've earned $353 (and counting!) in sales so far for the #StandWithUkraine T's I designed! I was going to donate right to the UA Red Cross, but have seen several other good charities, What do you guys think? Suggestions?"", ""I'm fundraising for The British Red Cross Society. For #Ukraine Check out my page and please donate if you can. Thank you! #JustGiving"", 'My company Kantar Group is fundraising for The British Red Cross Society. Check out their page and please donate if you can. Thank you! #JustGiving #Ukraine #HelpUkraine']"
105,13,105_ukranian red_charity_appeal_british red,"['ukranian red', 'charity', 'appeal', 'british red', 'british', 'supportukraine', 'ukranian', 'dnd5e', 'et', 'families need']","['Join #VorpalTales for a special #DND5e charity one-shot supporting The Ukranian Red Cross, tonight Thursday 9p ET! \u2060 #TTRPG #CharityStream #TTRPGFamily #TTRPGSolidarity #fantasy #charity #DND #5e #Ukraine #StandWithUkraine #RollForUkraine', 'Support Ukraine, 100% of proceeds go to British Red Cross to support people and families in need in Ukraine, digital download #supportukraine #standwithukraine #ukrainedonation #charitydonation #nowar #ukukraine #handmadeinuk #ukraineflag', 'Support Ukraine, 100% of proceeds go to British Red Cross to support people and families in need in Ukraine, digital download #supportukraine #standwithukraine #ukrainedonation #charitydonation #nowar #ukukraine']"
106,13,106_men women_invaded_innocent_putin,"['men women', 'invaded', 'innocent', 'putin', 'ukraine needs', 'dramatic', 'condemn russia', 'neighbor', 'invaded ukraine', 'freeworld']","['#Ukraine needs weapons and humanitarian assistance to defend against #Putin. Russian troops shoot a nuclear power plant. Stop innocent civilian deaths. People around the world ask NATO to close the airspace over Ukraine. , provide #SafeAirliftUkraine', '#Ukraine suffering dramatic cruel attack from #Putin. It’s not enough for . /. /#FreeWorld to “condemn” #Russia. Talk ISN’T enough. #Ukraine needs heavy serious #Weapons/#War NOW! #Airplanes, #LongRange #Missiles MUST insure evacuation routes for . ! . .', '#Ukraine suffering dramatic cruel attack from #Putin. It’s not enough for . /. /#FreeWorld to “condemn” #Russia. Talk ISN’T enough #Ukraine needs heavy serious #Weapons/#War NOW! #Airplanes, #LongRange #Missiles MUST insure evacuation routes for . ! .']"
107,13,107_israel_paramedic_mda_victoria,"['israel', 'paramedic', 'mda', 'victoria', 'refugees', 'ambulances', 'magen david', 'magen', 'experiences', 'volunteered']","[""Photos of MDA volunteers honoring Israel's fallen and terror victims on #YomHaZikaron (Israel's memorial day). May their memories be a blessing. #Israel #MemorialDay"", 'Victoria Leshiner fled from #Ukraine &amp; arrived in #Israel a month ago. She wanted to continue helping Ukrainian refugees. MDA personnel contacted her and offered her a job at the Refugee Call Center, which works in cooperation with the Ministry of Welfare and JDC Israel.', 'Racheli Ikar Cohen, an MDA Paramedic working in the refugee call center in #Israel, is currently on an MDA mission in #Moldova &amp; #Ukraine. She is at the clinic w/ the Jewish community &amp; is providing much-needed care, medical attention, and support to refugees.']"
108,13,108_ruzzia_civilians ukraine_killing_ruzzian,"['ruzzia', 'civilians ukraine', 'killing', 'ruzzian', 'killing children', 'ukraine russiaisaterrorisstate', 'killed', 'everyday', 'children', 'doing']","['This is what Evil NaZi RuZZia is doing everyday…shelling and killing children and civilians in Ukraine #russiaisaterrorisstate', 'This is what Evil NaZi RuZZia is doing everyday…killing children and civilians in Ukraine #russiaisaterrorisstate', 'Who else if not #Russia ?#Ruzzia']"
109,13,109_icrc visit_lubinets_visit olenivka_olenivka,"['icrc visit', 'lubinets', 'visit olenivka', 'olenivka', 'visit', 'russia allowed', 'facility', 'icrc', 'access', 'facility olenivka']","['#stoprussia #EU: Russia has still not allowed ICRC to visit #Olenivka', 'EU: Russia has still not allowed ICRC to visit Olenivka #Ukraine', 'EU: Russia has still not allowed ICRC to visit Olenivka #UkraineRussiaWar #UkraineUnderAttaсk #UkraineWar #UkraineWarNews']"
110,13,110_sleep_sleeping_sleep night_exist russiaisaterrorisstate,"['sleep', 'sleeping', 'sleep night', 'exist russiaisaterrorisstate', 'civilians saved', 'night', 'falling', 'fun', 'russiaisaterrorisstate olenivkamassacre', 'olenivkamassacre']","['how do you sleep ⁉️ #GenocideOfUkrainians #RussianWarCrimes #RussiaIsATerroristState #ArmUkraineNow', ""How do you sleep at night? Any of your 'deeply concerned' tweets intercepted a missile falling on civilians or saved any POW's life? Self-dissolution is your only option, frankly I don't even know why you still exist. #russiaisaterrorisstate #OlenivkaMassacre"", ""How do you sleep at night? Any of your 'deeply concerned' tweets ntercepteda missile falling on civilians or saved any POW's life? Self-dissolution is your only option, frankly I don't even know why you still exist. #russiaisaterrorisstate #OlenivkaMassacre""]"
111,13,111_rules_putin_want_rules war,"['rules', 'putin', 'want', 'rules war', 'swiss', 'sanctions', 'cross want', 'vladimir putin', 'rule', 'vladimir']","[""Rules are for sane people, not egomaniacal,spiteful, sadists like #Putin.He doesn't care about rules,he uses them to his advantage to kill more civilians,hoping the west feels guilty for their sanctions. #Zelenskyy didn't help TFG get dirt on Biden,#Biden needs to help more now🇺🇦"", '#VLADIMIR #PUTIN! WE HAVE MORE SANCTIONS,IF YOU WANT.. WE DO NOT RECOGNIZE YOUR JUDGMENTS WE WANT YOU TO DELIVER ALEXEI #NAVALNY TO THE INTERNATIONAL RED CROSS WE WANT IT TO BE SEEN BY DOCTORS IN #EUROPE AND OUTSIDE #RUSSIA #LAVROV #SWISS #SWIZERLAND #MOSCOW #KREMLIN #PESCOV', '#VLADIMIR #PUTIN! WE HAVE MORE SANCTIONS,IF YOU WANT... WE DO NOT RECOGNIZE YOUR JUDGMENTS WE WANT YOU TO DELIVER ALEXEI #NAVALNY TO THE INTERNATIONAL RED CROSS. WE WANT IT TO BE SEEN BY DOCTORS IN #EUROPE AND OUTSIDE #RUSSIA. #LAVROV #SWISS #SWIZERLAND #MOSCOW #KREMLIN']"
112,12,112_businesses_russian invasion_contexts_standwithukraine russian,"['businesses', 'russian invasion', 'contexts', 'standwithukraine russian', 'invasion ukraine', 'declare', 'ambassador', 'companies', 'operating', 'using']","[""I am not here to troll. I'd like for the world to understand that did not make an attempt to create a humanitarian corridor into #Ukraine for #Ukrainian citizens. Their agreement with #russia puts our men, women and children in direct access to people who wish them ill."", '#Russian invasion of #Ukraine: What should businesses do? See our guidance on good practices for companies operating in conflict-affected contexts, using materials from', '#Russian invasion of #Ukraine What should businesses do? See guidance on good practice for companies operating in conflict-affected contexts, using materials from']"
113,12,113_accommodation_pledges_irish_refugees,"['accommodation', 'pledges', 'irish', 'refugees', 'irish red', 'register', 'ukrainian refugees', 'offers', 'portal', '12 000']","['12,000 pledges of accommodation from Irish people to refugees from Ukraine through the Irish Red Cross website, 3000 offering secondary or holiday homes. #BorisJohnson #PritiPatelResign #ToryIncompetence #UkraineWar', 'Please share. The Irish Red Cross is overseeing the register of pledges for accommodation to help Ukrainian refugees in Rep of Irl. Many British have 2nd holiday homes in ROI &amp; may wish to offer them to the refugees. #standwithukraine', 'You can now register pledges of accommodation and other services to assist Ukrainian refugees with the Irish Red Cross. #StandWithUkraine️ Please RT. Link here;']"
114,12,114_rescue operation_operation mariupol_rescue_unique,"['rescue operation', 'operation mariupol', 'rescue', 'unique', 'footage', 'operation', 'make possible', 'regiment', 'work continue', 'possible work']","['Azov Regiment provided unique footage of the current rescue operation in #Mariupol. We thank the and for their support. Many people worked to make this possible. The work will continue until we save all our people. #SaveMariupol #StandWithUkraine #StopRussia', '#Azov Regiment provided unique personnel of the rescue operation in #Mariupol,said #Arahamiya,thanking for the support of the and the ""Many people have worked to make this possible.The work will continue until we save all our people,""said the leader of the #CH faction.', 'The Azov Regiment provided unique footage of the rescue operation in Mariupol. Thank you for the support of the UN and the International Committee of the Red Cross. ""Many have worked to make this possible. The work will continue until we save all of our people."" #Mariupol #Azov']"
115,12,115_experts_invited_invited experts_jail,"['experts', 'invited', 'invited experts', 'jail', 'deaths', 'cross experts', 'cross investigate', 'officially invited', 'officially', 'investigate']","['In the interest of conducting an objective investigation of the strike on the detention centre in #Yelenovka #Donetsk causing deaths of many #Ukraine #POWs #Russia has officially invited experts from #UN and the International Red Cross #IRC to carry it out', 'JUST IN: Russia said it has invited experts from the UN and the Red Cross to investigate the deaths of dozens of Ukrainian prisoners in a jail held by Moscow-backed separatists #UkraineWar', 'Russia has invited experts from the UN and the Red Cross to investigate the deaths of dozens of Ukrainian prisoners held in a jail by Moscow-backed separatists. #UkraineRussianWar']"
116,12,116_azerbaijan_armenia_vehicles_peacekeeping,"['azerbaijan', 'armenia', 'vehicles', 'peacekeeping', 'russia peacekeeping', 'nagornokarabakh', 'karabakh', 'road', 'permitted', 'crossing']","[""UPDATE - The roadblock in #NagornoKarabakh remains closed to all civilian traffic and movement by #Azerbaijan's authorities. and #Russia's Peacekeeping contingent vehicles are the only ones permitted through. #Armenia"", ""UPDATE: The #NagornoKarabakh-#Armenia highway remains blocked by #Azerbaijan, no changes in the situation, all civilian transit/trade blocked since 12 Dec. 2022, only and #Russia's peacekeeping contingent vehicles permitted to transit. *Photo provided by Azeri authorities"", ""#Azerbaijan state-controlled Ictimai TV reports 20 vehicles passing through the #NagornoKarabakh roadblock during 3 January. 6 lorries reported, most likely from #Russia's Peacekeeping contingent (RPC). Since 12 Dec. only RPC and vehicles have been permitted. #armenia""]"
117,11,117_olenivka_heroes_freeazovstaldefenders russiaisaterrorisstate_demand return,"['olenivka', 'heroes', 'freeazovstaldefenders russiaisaterrorisstate', 'demand return', 'olenivka saveazovstaldefenders', 'proof russians', 'terror', 'saveazovstaldefenders', 'dead', 'freeazovstaldefenders']","['#Olenivka is a direct proof of russians’ terror and the full inaction of the . 53 dead captured Ukrainians!!! #saveazovstaldefenders #Azovstal #Mariupol', '#Olenivka is a direct proof of russians’ terror and full inaction of the . As a result - 53 dead captured Ukrainians. Titans, who bravely defended #Mariupol and #Azovstal for 86 days, are in captivity of the most insidious enemy now. The world must #SaveAzovstalDefenders ‼️', '#Russia does not respond to the demand to return the bodies of the dead soldiers from #Azovstal in #Olenivka. Our #Heroes should be buried with all honors. We call to return their bodies home! 29.07.2022🔥 #russiaisaterrorisstate #RussianUkrainianWar']"
118,11,118_isn_blacksea_ash_humanitariancorridor,"['isn', 'blacksea', 'ash', 'humanitariancorridor', 'ukraine evacuate', 'ships', 'putting', 'establishing', 'evacuate people', 'cities']","['Why isn’t . establ’g #HumanitarianCorridor to #Mariupol #Ukraine for . to evacuate people ? There won’t be anyone alive if they wait Why isn’t . putting ships in the #BlackSea ? #Russia MUST feel disapproval of pounding cities to ash. . #UkraineInvasion', 'Why isn’t. establishing #HumanitarianCorridor to #Mariupol #Ukraine for . to evacuate people ? There won’t be anyone alive if they wait. Why isn’t . putting ships in the #BlackSea ? #Russia MUST feel disapproval of pounding cities to ash. . #War', 'Why isn’t. establishing #HumanitarianCorridor to #Mariupol #Ukraine for . to evacuate people ? There won’t be anyone alive if they wait. Why isn’t . putting ships in the #BlackSea ? #Russia MUST feel disapproval of pounding cities to ash. . .']"
